,id_tienda,nombre_tienda,region,estado,ciudad,municipio,proto,long,lat,con_serv
183,3176,Ojo De Agua,Centro,Mexico,ZM del Valle de México,Tecámac,SPCT-127,-99.018545,19.659043,Sí
184,2378,Tampico,Noreste,Tamaulipas,ZM de Tampico,Tampico,SPCT-127,-97.871513,22.271134,Sí
185,2735,La Cruz,Sureste,Quintana Roo,Playa del Carmen,Solidaridad,SPCT-112,-87.081312,20.654042,Sí
186,1139,La Huasteca,Noreste,Nuevo Leon,ZM de Monterrey,Santa Catarina,SPCT-90,-100.451056,25.675263,Sí
187,1622,Gomez Morin,Noreste,Nuevo Leon,ZM de Monterrey,San Pedro Garza García,SPCT-112,-100.361461,25.644405,Sí
188,2676,La Fe,Noreste,Nuevo Leon,ZM de Monterrey,San Nicolás de los Garza,SPCT-127,-100.220784,25.722447,Sí
189,2179,San Nicolas,Noreste,Nuevo Leon,ZM de Monterrey,San Nicolás de los Garza,SPCT-112,-100.269517,25.769044,Sí
190,2431,San Luis Potosi,Bajio,San Luis Potosi,ZM de San Luis Potosí-Soledad de Graciano Sánchez,San Luis Potosí,SPCT-127,-101.003007,22.137405,Sí
191,2090,Angelopolis,Centro,Puebla,ZM de Puebla-Tlaxcala,San Andrés Cholula,SPCT-127,-98.2382,19.027573,Sí
192,1801,Ciudad Judicial,Centro,Puebla,ZM de Puebla-Tlaxcala,San Andrés Cholula,SPCT-112,-98.263548,19.017493,Sí
193,1404,Galerias Saltillo,Norte,Coahuila,ZM de Saltillo,Saltillo,SPCT-112,-100.981002,25.456897,Sí
194,5749,Plaza De Toros,Bajio,Queretaro,ZM de Querétaro,Querétaro,SPCT-127,-100.409368,20.574103,Sí
195,2733,Poniente Queretaro,Bajio,Queretaro,ZM de Querétaro,Querétaro,SPCT-112,-100.466,20.6293,Sí
196,3586,Juriquilla,Bajio,Queretaro,ZM de Querétaro,Querétaro,SPCT-112,-100.432884,20.675971,Sí
197,3747,El Pitillal,Occidente,Jalisco,ZM de Puerto Vallarta,Puerto Vallarta,SPCT-127,-105.238167,20.656394,Sí
198,3853,San Manuel,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-112,-98.198307,19.019429,Sí
199,3864,Puebla Reforma,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-112,-98.223853,19.057933,Sí
200,3886,Las Animas,Centro,Puebla,ZM de Puebla-Tlaxcala,Puebla,SPCT-127,-98.236976,19.044997,Sí
201,3061,Pachuca,Centro,Hidalgo,ZM de Pachuca,Pachuca de Soto,SPCT-127,-98.759893,20.091822,Sí
202,3847,Satelite,Centro,Mexico,ZM del Valle de México,Naucalpan de Juárez,SPCT-112,-99.2311,19.5155,Sí
203,3850,Echegaray,Centro,Mexico,ZM del Valle de México,Naucalpan de Juárez,SPCT-112,-99.232871,19.484682,Sí
204,1032,Lomas Verdes,Centro,Mexico,ZM del Valle de México,Naucalpan de Juárez,SPCT-127,-99.26785,19.51599,Sí
205,3554,Mil Cumbres,Occidente,Michoacan,ZM de Morelia,Morelia,SPCT-90,-101.149172,19.692605,Sí
206,2034,Las Torres,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-127,-100.274384,25.615802,Sí
207,2044,Valle Oriente,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,-100.316431,25.639061,Sí
208,3114,Cumbres Monterrey,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,-100.393262,25.726724,Sí
209,3239,Paseo Real,Noreste,Nuevo Leon,ZM de Monterrey,Monterrey,SPCT-112,-100.405345,25.76008,Sí
210,2344,Toreo,Centro,Distrito Federal,ZM del Valle de México,Miguel Hidalgo,SPCT-127,-99.217789,19.450253,Sí
211,3790,Metepec,Centro,Mexico,ZM de Toluca,Metepec,SPCT-112,-99.622794,19.25837,Sí
212,3263,Pilares,Centro,Mexico,ZM de Toluca,Metepec,SPCT-112,-99.591298,19.285644,Sí
213,4048,Pensiones,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,-89.65527,20.994622,Sí
214,4073,Poligono,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,-89.575965,20.997687,Sí
215,1016,Merida Norte,Sureste,Yucatan,ZM de Mérida,Mérida,SPCT-112,-89.604368,21.038733,Sí
216,3069,Cabo San Lucas,Noroeste,Baja California Sur,El Tezal,Los Cabos,SPCT-127,-109.899258,22.903134,Sí
217,2765,San Jose Del Cabo,Noroeste,Baja California Sur,San José del Cabo,Los Cabos,SPCT-112,-109.702278,23.053869,Sí
218,1462,Lerma Toluca,Centro,Mexico,ZM de Toluca,Lerma,SPCT-112,-99.503465,19.282699,Sí
219,1195,Galerias Las Torres,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,-101.646523,21.147067,Sí
220,1621,La Antorcha,Bajio,Guanajuato,ZM de Leon,León,SPCT-112,-101.732763,21.172075,Sí
221,2448,Punta Del Este,Bajio,Guanajuato,ZM de Leon,León,SC-90,-101.607013,21.131902,Sí
222,2377,Cd.Juarez,Norte,Chihuahua,ZM de Juárez,Juárez,SPCT-127,-106.418595,31.704679,Sí
223,2033,Plaza Oriente,Centro,Distrito Federal,ZM del Valle de México,Iztapalapa,SPCT-127,-99.08048,19.384001,Sí
224,2347,Tlahuac,Centro,Distrito Federal,ZM del Valle de México,Iztapalapa,SPCT-127,-99.059518,19.307922,Sí
225,4628,Las Antenas,Centro,Distrito Federal,ZM del Valle de México,Iztapalapa,SC-90,-99.076161,19.314046,Sí
226,1015,Irapuato,Bajio,Guanajuato,Irapuato,Irapuato,SPCT-112,-101.366574,20.683793,Sí
227,2382,Interlomas,Centro,Mexico,ZM del Valle de México,Huixquilucan,SPCT-112,-99.274107,19.405671,Sí
228,3504,Av Jesus Del Monte,Centro,Mexico,ZM del Valle de México,Huixquilucan,SPCT-127,-99.289084,19.398534,Sí
229,2053,Blvd Colosio,Noroeste,Sonora,Hermosillo,Hermosillo,SPCT-112,-111.021716,29.082631,Sí
230,3877,Torres Lindavista,Centro,Distrito Federal,ZM del Valle de México,Gustavo A. Madero,SPCT-112,-99.143551,19.506268,Sí
231,2345,Tepeyac,Centro,Distrito Federal,ZM del Valle de México,Gustavo A. Madero,SPCT-127,-99.120707,19.472103,Sí
232,4547,Plaza Eduardo Molina,Centro,Distrito Federal,ZM del Valle de México,Gustavo A. Madero,SPCT-127,-99.0957,19.4796,Sí
233,2076,Miguel Aleman,Noreste,Nuevo Leon,ZM de Monterrey,Guadalupe,SPCT-127,-100.240048,25.691049,Sí
234,1833,Cerro De La Silla,Noreste,Nuevo Leon,ZM de Monterrey,Guadalupe,SPCT-112,-100.241762,25.665568,Sí
235,3861,Revolucion,Occidente,Jalisco,ZM de Guadalajara,Guadalajara,SPCT-112,-103.31009,20.648793,Sí
236,3909,Cordoba,Sureste,Veracruz,ZM de Córdoba,Fortín,SPCT-112,-96.959626,18.902475,Sí
237,5765,Las Americas,Centro,Mexico,ZM del Valle de México,Ecatepec de Morelos,SPCT-127,-99.022137,19.580031,Sí
238,1203,Super Plaza Ecatepec,Centro,Mexico,ZM del Valle de México,Ecatepec de Morelos,SPCT-127,-99.019212,19.557934,Sí
239,2379,Culiacan,Noroeste,Sinaloa,Culiacán Rosales,Culiacán,SPCT-127,-107.409212,24.814763,Sí
240,1045,Domingo Diez,Centro,Morelos,ZM de Cuernavaca,Cuernavaca,SPCT-112,-99.237813,18.956004,Sí
241,2446,Averanda,Centro,Morelos,ZM de Cuernavaca,Cuernavaca,SC-70,-99.197333,18.933541,Sí
242,4157,Periferico Cuautitlan,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,-99.194744,19.646802,Sí
243,4154,Perinorte,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-127,-99.187627,19.605325,Sí
244,2284,Portal Cuautitlan,Centro,Mexico,ZM del Valle de México,Cuautitlán Izcalli,SPCT-112,-99.225021,19.688806,Sí
245,3846,Buenavista,Centro,Distrito Federal,ZM del Valle de México,Cuauhtémoc,SPCT-127,-99.153082,19.443515,Sí
246,1513,Portal Centro,Centro,Distrito Federal,ZM del Valle de México,Cuauhtémoc,SC-144,-99.130651,19.419428,Sí
247,3858,Cuajimalpa,Centro,Distrito Federal,ZM del Valle de México,Cuajimalpa de Morelos,SPCT-112,-99.288704,19.364323,Sí
248,3848,Taxqueña,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-127,-99.182582,19.345195,Sí
249,3863,Periferico Sur,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-112,-99.187261,19.306272,Sí
250,2464,Miramontes,Centro,Distrito Federal,ZM del Valle de México,Coyoacán,SPCT-127,-99.1255,19.317789,Sí
251,1054,Colima Norte,Occidente,Colima,ZM de Colima-Villa de Álvarez,Colima,SPCT-112,-103.720535,19.257343,Sí
252,4018,Santa Maria,Centro,Mexico,ZM del Valle de México,Coacalco de Berriozábal,SPCT-127,-99.12381,19.62997,Sí
253,1656,Club De Golf,Norte,Chihuahua,ZM de Chihuahua,Chihuahua,SPCT-62,-106.130459,28.665604,Sí
254,3293,Blvd Ruiz Cortines,Sureste,Tabasco,ZM de Villahermosa,Centro,SPCT-112,-92.946,17.9921,Sí
255,2380,Cd. Obregon,Noroeste,Sonora,Ciudad Obregón,Cajeme,SPCT-127,-109.928448,27.516563,Sí
256,2463,Veracruz,Sureste,Veracruz,ZM de Veracruz,Boca del Río,SPCT-127,-96.112189,19.156554,Sí
257,3845,Universidad,Centro,Distrito Federal,ZM del Valle de México,Benito Juárez,SPCT-112,-99.164148,19.368587,Sí
258,2670,Tlalpan,Centro,Distrito Federal,ZM del Valle de México,Benito Juárez,SPCT-127,-99.141224,19.380229,Sí
259,2689,Felix Cuevas,Centro,Distrito Federal,ZM del Valle de México,Benito Juárez,SPCT-112,-99.176311,19.371627,Sí
260,2384,Cancun Labna,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-127,-86.833692,21.154319,Sí
261,3505,Poligono Sur,Sureste,Quintana Roo,ZM de Cancún,Benito Juárez,SPCT-112,-86.875835,21.125694,Sí
262,1425,Bahia De Banderas,Occidente,Nayarit,ZM de Puerto Vallarta,Bahía de Banderas,SPCT-127,-105.277745,20.722282,Sí
263,3862,Azcapotzalco,Centro,Distrito Federal,ZM del Valle de México,Azcapotzalco,SPCT-127,-99.192469,19.472928,Sí
264,2466,Cuitlahuac,Centro,Distrito Federal,ZM del Valle de México,Azcapotzalco,SPCT-127,-99.164282,19.471133,Sí
